category_en,category_ja,name_ja,name_en,gender,angle,prompt_tag,prompt_full,filename
Hair Texture,髪質,濡れ髪,Wet Hair,f,front,wet hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, wet hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_texture_wet_hair
Hair Texture,髪質,セミストレート,Semi-Straight Hair,f,front,"semi-straight hair, slightly wavy","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, semi-straight hair, slightly wavy, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_texture_semi_straight_hair
Hair Texture,髪質,白髪交じり,Salt and Pepper Hair,m,front,"salt and pepper hair, greying hair","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, salt and pepper hair, greying hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_texture_salt_and_pepper_hair
Hair Length,長さ,坊主・ベリーショート,Buzz Cut,m,front,buzz cut,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, buzz cut, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_length_buzz_cut
Hair Length,長さ,ショート,Short Hair,m,front,short hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, short hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_length_short_hair
Hair Length,長さ,ボブ丈,Chin-Length Hair,f,front,chin-length hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, chin-length hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_length_chin_length_hair
Hair Length,長さ,ミディアム,Shoulder-Length Hair,f,front,shoulder-length hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, shoulder-length hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_length_shoulder_length_hair
Hair Length,長さ,セミロング,Medium-Long Hair,f,front,medium-long hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, medium-long hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_length_medium_long_hair
Hair Length,長さ,ロング,Long Hair,f,front,long hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, long hair, three-quarter front view, slightly angled, looking at viewer, full body, full figure, standing, head to toe, simple background, solo",hair_length_long_hair
Hair Length,長さ,スーパーロング,Very Long Hair,f,side,very long hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, very long hair, from side, profile view, full body, full figure, standing, head to toe, simple background, solo",hair_length_very_long_hair
Hair Length,長さ,床まで届く長さ,Floor-Length Hair,f,side,floor-length hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, floor-length hair, from side, profile view, full body, full figure, standing, head to toe, simple background, solo",hair_length_floor_length_hair
Hair Length,長さ,ミディアムショート,Medium-Short Hair,any,front,"medium-short hair, ear-length","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, medium-short hair, ear-length, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",hair_length_medium_short_hair
Haircut,カット,ボブ,Bob Cut,f,front,bob cut,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, bob cut, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",haircut_bob_cut
Haircut,カット,切りっぱなしボブ,Blunt Bob,f,front,blunt bob,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, blunt bob, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",haircut_blunt_bob
Haircut,カット,おかっぱ,Bob with Blunt Bangs,f,front,bob cut with blunt bangs,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, bob cut with blunt bangs, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",haircut_bob_with_blunt_bangs
Haircut,カット,ワンレングス,One-Length Cut,f,side,one-length blunt cut,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, one-length blunt cut, from side, profile view, head and shoulders portrait, above shoulders, simple background, solo",haircut_one_length_cut
Haircut,カット,レイヤーカット,Layered Hair,f,front,layered hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, layered hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",haircut_layered_hair
Haircut,カット,シャギー,Shaggy Hair,f,front,shaggy hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, shaggy hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",haircut_shaggy_hair
Haircut,カット,ウルフカット,Wolf Cut,f,front,wolf cut,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, wolf cut, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",haircut_wolf_cut
Haircut,カット,姫カット,Hime Cut,f,front,hime cut,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, hime cut, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",haircut_hime_cut
Haircut,カット,マッシュ,Bowl Cut,m,front,bowl cut,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, bowl cut, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",haircut_bowl_cut
Haircut,カット,ピクシーカット,Pixie Cut,f,front,pixie cut,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, pixie cut, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",haircut_pixie_cut
Haircut,カット,ツーブロック・刈り上げ,Undercut,m,side,"undercut, shaved sides","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, undercut, shaved sides, from side, profile view, head and shoulders portrait, above shoulders, simple background, solo",haircut_undercut
Haircut,カット,フェードカット,Fade Cut,m,side,fade haircut,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, fade haircut, from side, profile view, head and shoulders portrait, above shoulders, simple background, solo",haircut_fade_cut
Haircut,カット,クルーカット,Crew Cut,m,front,crew cut,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, crew cut, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",haircut_crew_cut
Haircut,カット,モヒカン,Mohawk,m,side,mohawk,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, mohawk, from side, profile view, head and shoulders portrait, above shoulders, simple background, solo",haircut_mohawk
Haircut,カット,前下がりボブ,A-Line Bob,f,front,"a-line bob, graduated bob, longer in front","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, a-line bob, graduated bob, longer in front, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",haircut_a_line_bob
Haircut,カット,前上がりボブ,Graduated Bob,f,back,"graduated bob, stacked back, shorter nape","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, graduated bob, stacked back, shorter nape, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",haircut_graduated_bob
Haircut,カット,マレットカット,Mullet,any,side,"mullet haircut, short top long back","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, mullet haircut, short top long back, from side, profile view, head and shoulders portrait, above shoulders, simple background, solo",haircut_mullet
Styling,セット,センター分け,Center Part,f,front,center-parted hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, center-parted hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",styling_center_part
Styling,セット,七三分け,Side Part,m,front,side-parted hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, side-parted hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",styling_side_part
Styling,セット,オールバック,Slicked Back Hair,m,front,slicked back hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, slicked back hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",styling_slicked_back_hair
Styling,セット,かき上げ前髪,Swept Back Front,f,front,swept back hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, swept back hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",styling_swept_back_front
Styling,セット,外ハネ,Flipped Hair,f,front,"flipped hair, outward flip","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, flipped hair, outward flip, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",styling_flipped_hair
Styling,セット,内巻き,Inward Curled Ends,f,front,inward curled bob,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, inward curled bob, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",styling_inward_curled_ends
Styling,セット,パーマ,Permed Hair,f,front,permed hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, permed hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",styling_permed_hair
Styling,セット,縦ロール,Drill Hair,f,front,"drill hair, ringlets","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, drill hair, ringlets, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",styling_drill_hair
Styling,セット,ふわふわ巻き,Fluffy Curled Hair,f,front,fluffy curly hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, fluffy curly hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",styling_fluffy_curled_hair
Styling,セット,スパイキー,Spiky Hair,m,front,spiky hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, spiky hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",styling_spiky_hair
Styling,セット,ポンパドール,Pompadour,m,front,pompadour hairstyle,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, pompadour hairstyle, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",styling_pompadour
Styling,セット,リーゼント,Pompadour with Ducktail,m,side,pompadour with ducktail,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, pompadour with ducktail, from side, profile view, head and shoulders portrait, above shoulders, simple background, solo",styling_pompadour_with_ducktail
Styling,セット,ウェットスタイル,Wet Look Hair,m,front,"wet look hair, slicked","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, wet look hair, slicked, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",styling_wet_look_hair
Styling,セット,寝癖,Bedhead,f,front,"bedhead, messy hair","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, bedhead, messy hair, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",styling_bedhead
Styling,セット,ゆる巻き,Loose Curls,f,front,"loose soft curls all over, relaxed waves","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, loose soft curls all over, relaxed waves, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",styling_loose_curls
Styling,セット,逆毛ボリューム,Teased Volume,f,front,"teased hair, voluminous backcombed","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, teased hair, voluminous backcombed, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",styling_teased_volume
Styling,セット,ストレートアイロン,Sleek Straight,f,front,"sleek straightened hair, glossy straight","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, sleek straightened hair, glossy straight, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",styling_sleek_straight
Styling,セット,三つ編みおさげ崩し,Messy Braids,f,front,"messy loose braids, undone braids","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, messy loose braids, undone braids, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",styling_messy_braids
Tied Hairstyle,結い方,ポニーテール,Ponytail,f,back,ponytail,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, ponytail, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_ponytail
Tied Hairstyle,結い方,ハイポニーテール,High Ponytail,f,back,high ponytail,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, high ponytail, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_high_ponytail
Tied Hairstyle,結い方,ローポニーテール,Low Ponytail,f,back,low ponytail,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, low ponytail, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_low_ponytail
Tied Hairstyle,結い方,サイドテール,Side Ponytail,f,front,side ponytail,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, side ponytail, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_side_ponytail
Tied Hairstyle,結い方,ツインテール,Twintails,f,front,twintails,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, twintails, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_twintails
Tied Hairstyle,結い方,ハーフツインテール,Half Twintails,f,front,half twintails,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, half twintails, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_half_twintails
Tied Hairstyle,結い方,お団子,Hair Bun,f,back,hair bun,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, hair bun, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_hair_bun
Tied Hairstyle,結い方,ツインお団子,Double Buns,f,back,double buns,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, double buns, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_double_buns
Tied Hairstyle,結い方,シニヨン,Chignon,f,back,"chignon, low bun","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, chignon, low bun, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_chignon
Tied Hairstyle,結い方,夜会巻き,French Twist,f,back,french twist hair,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, french twist hair, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_french_twist
Tied Hairstyle,結い方,三つ編み(一本),Single Braid,f,back,single braid,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, single braid, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_single_braid
Tied Hairstyle,結い方,おさげ,Twin Braids,f,front,twin braids,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, twin braids, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_twin_braids
Tied Hairstyle,結い方,編み込み,French Braid,f,back,french braid,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, french braid, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_french_braid
Tied Hairstyle,結い方,フィッシュボーン,Fishtail Braid,f,back,fishtail braid,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, fishtail braid, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_fishtail_braid
Tied Hairstyle,結い方,三つ編みカチューシャ,Crown Braid,f,front,crown braid,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, crown braid, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_crown_braid
Tied Hairstyle,結い方,玉ねぎヘア,Bubble Ponytail,f,back,bubble ponytail,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, bubble ponytail, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_bubble_ponytail
Tied Hairstyle,結い方,ハーフアップ,Half Updo,f,back,half updo,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, half updo, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_half_updo
Tied Hairstyle,結い方,ドレッドヘア,Dreadlocks,m,front,dreadlocks,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, dreadlocks, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_dreadlocks
Tied Hairstyle,結い方,コーンロウ,Cornrows,m,back,cornrows,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1boy, man, cornrows, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_cornrows
Tied Hairstyle,結い方,日本髪,Nihongami,f,back,"nihongami, traditional japanese hairstyle","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, nihongami, traditional japanese hairstyle, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_nihongami
Tied Hairstyle,結い方,くるりんぱ,Twist Tuck Ponytail,f,back,"twist tuck ponytail, krullinpa","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, twist tuck ponytail, krullinpa, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_twist_tuck_ponytail
Tied Hairstyle,結い方,ロープ編み,Rope Braid,f,back,"rope braid, twisted two-strand braid","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, rope braid, twisted two-strand braid, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_rope_braid
Tied Hairstyle,結い方,ギブソンタック,Gibson Tuck,f,back,"gibson tuck, rolled low updo","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, gibson tuck, rolled low updo, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_gibson_tuck
Tied Hairstyle,結い方,編みおろし,Braided Down Style,f,back,"braided down hairstyle, long side braid over shoulder","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, braided down hairstyle, long side braid over shoulder, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_braided_down_style
Tied Hairstyle,結い方,ポニーテール+編み込み,Braided Ponytail,f,back,"braided ponytail, plaited tail","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, braided ponytail, plaited tail, from behind, three-quarter rear view, facing away, back of head visible, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_braided_ponytail
Tied Hairstyle,結い方,三つ編み冠+リボン,Braid with Ribbon,f,front,"braids with ribbon, ribbon tied pigtails","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, braids with ribbon, ribbon tied pigtails, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_braid_with_ribbon
Tied Hairstyle,結い方,スペースバンズ,Space Buns,f,front,"space buns, double top buns","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, space buns, double top buns, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",tied_hairstyle_space_buns
Bangs,前髪,ぱっつん前髪,Blunt Bangs,f,front,blunt bangs,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, blunt bangs, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",bangs_blunt_bangs
Bangs,前髪,シースルーバング,See-Through Bangs,f,front,"see-through bangs, wispy bangs","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, see-through bangs, wispy bangs, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",bangs_see_through_bangs
Bangs,前髪,斜め前髪,Side-Swept Bangs,f,front,side-swept bangs,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, side-swept bangs, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",bangs_side_swept_bangs
Bangs,前髪,センター分け前髪,Curtain Bangs,f,front,"parted bangs, curtain bangs","masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, parted bangs, curtain bangs, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",bangs_curtain_bangs
Bangs,前髪,オン眉,Short Bangs,f,front,short bangs above eyebrows,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, short bangs above eyebrows, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",bangs_short_bangs
Bangs,前髪,目隠れ前髪,Hair Over Eyes,f,front,hair over eyes,"masterpiece, detailed illustration beautiful anime style, cinematic , gentle subsurface scattering on skin, japanese, 1girl, woman, hair over eyes, three-quarter front view, slightly angled, looking at viewer, head and shoulders portrait, above shoulders, simple background, solo",bangs_hair_over_eyes
